title,artist,preview_url
Blinding Lights,The Weeknd,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/2/0/1b27825bf63c36edcdc7fac9f920214e.mp3?hdnea=exp=1751246547~acl=/api/1/1/1/b/2/0/1b27825bf63c36edcdc7fac9f920214e.mp3*~data=user_id=0,application_id=42~hmac=e59dade82b9e04794d0b86c68db6ed6a92697a954ebc8696cb573aed382877a5"
Rolling in the Deep,Adele,"https://cdnt-preview.dzcdn.net/api/1/1/a/4/1/0/a4112b02938d990d85783462aa6fa13e.mp3?hdnea=exp=1751246547~acl=/api/1/1/a/4/1/0/a4112b02938d990d85783462aa6fa13e.mp3*~data=user_id=0,application_id=42~hmac=9152cf6b62b519b2b35c3338773af4cf5c33f335bc77f63eb5fdcda4b35b3ab3"
Tearin' Up My Heart,*NSYNC,"https://cdnt-preview.dzcdn.net/api/1/1/5/1/2/0/512aaeaa888f3bd4abca3e5a53244beb.mp3?hdnea=exp=1751246548~acl=/api/1/1/5/1/2/0/512aaeaa888f3bd4abca3e5a53244beb.mp3*~data=user_id=0,application_id=42~hmac=f19a88833d9a8fcfb94e40d12bc9dc40ec4cb6907aa60009eefb202199d5b85e"
Since U Been Gone,Kelly Clarkson,"https://cdnt-preview.dzcdn.net/api/1/1/c/3/d/0/c3d3ab3ec9c271477ca9c047bd528df3.mp3?hdnea=exp=1751246549~acl=/api/1/1/c/3/d/0/c3d3ab3ec9c271477ca9c047bd528df3.mp3*~data=user_id=0,application_id=42~hmac=69a7e31491e59cfbaceb99c4bcb132f12650c92d2a77bab6622580347c94b876"
Flowers,Miley Cyrus,"https://cdnt-preview.dzcdn.net/api/1/1/c/a/1/0/ca19f3388408a917038cb083873c4ae1.mp3?hdnea=exp=1751246549~acl=/api/1/1/c/a/1/0/ca19f3388408a917038cb083873c4ae1.mp3*~data=user_id=0,application_id=42~hmac=7e828ba0b3afe1d55297ddd46d934edcab6ee3143009832a4d98cf9f4323a827"
Billie Jean,Michael Jackson,"https://cdnt-preview.dzcdn.net/api/1/1/e/6/e/0/e6e0f8717b1e6353e2abf797c6849889.mp3?hdnea=exp=1751246550~acl=/api/1/1/e/6/e/0/e6e0f8717b1e6353e2abf797c6849889.mp3*~data=user_id=0,application_id=42~hmac=6e8b1eb523eda8596940e46898cb3f6abd9f3e3e5ae2b55f3505c243a2b32908"
Can't Stop the Feeling!,Justin Timberlake,"https://cdnt-preview.dzcdn.net/api/1/1/8/7/f/0/87fec11aa8f389856afe4402c09d0458.mp3?hdnea=exp=1751246551~acl=/api/1/1/8/7/f/0/87fec11aa8f389856afe4402c09d0458.mp3*~data=user_id=0,application_id=42~hmac=5e9eb8352822fde711933c17fb0c590f4c3b80b451b7d72921a700d2fc8c624d"
drivers license,Olivia Rodrigo,"https://cdnt-preview.dzcdn.net/api/1/1/4/d/5/0/4d54d919da63ae5ed6f2de3e05433317.mp3?hdnea=exp=1751246551~acl=/api/1/1/4/d/5/0/4d54d919da63ae5ed6f2de3e05433317.mp3*~data=user_id=0,application_id=42~hmac=dc9ccb7e4f1f0081bf1182ce578220fb4b2e03f624a89c7e48921459951e6634"
Wake Me Up Before You Go-Go,Wham!,"https://cdnt-preview.dzcdn.net/api/1/1/b/6/b/0/b6b916879db11a5fcf980c6261c46b54.mp3?hdnea=exp=1751246552~acl=/api/1/1/b/6/b/0/b6b916879db11a5fcf980c6261c46b54.mp3*~data=user_id=0,application_id=42~hmac=7747821aa53a6f9047a7720766eb93bfaa2d09f2fa1825cbf0eceec4bdd34215"
With or Without You,U2,"https://cdnt-preview.dzcdn.net/api/1/1/e/7/b/0/e7bd638df66aac0766c60ffa2ba5142f.mp3?hdnea=exp=1751246553~acl=/api/1/1/e/7/b/0/e7bd638df66aac0766c60ffa2ba5142f.mp3*~data=user_id=0,application_id=42~hmac=1c7d3634cf1d0538844ffffd86786022c7478de723373152430fd6b829268c45"
Complicated,Avril Lavigne,"https://cdnt-preview.dzcdn.net/api/1/1/2/5/c/0/25cff28ed6db68d4ab22720ac9d524b3.mp3?hdnea=exp=1751246554~acl=/api/1/1/2/5/c/0/25cff28ed6db68d4ab22720ac9d524b3.mp3*~data=user_id=0,application_id=42~hmac=ea62d46c270cae7e58145ddae6fded56b7827ec936a5bf5f098fecc30c004da6"
Livin' on a Prayer,Bon Jovi,"https://cdnt-preview.dzcdn.net/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3?hdnea=exp=1751246554~acl=/api/1/1/7/c/1/0/7c1d95d2fe6ad479f66d912db049df50.mp3*~data=user_id=0,application_id=42~hmac=0fae0635bd2b10f02d67e49a55251808a0a3f2e586c640c8bc33b7ed9d051d44"
Gangsta's Paradise,Coolio,"https://cdnt-preview.dzcdn.net/api/1/1/3/f/1/0/3f19df3b484b0ab61f5e2de5820ceac2.mp3?hdnea=exp=1751246555~acl=/api/1/1/3/f/1/0/3f19df3b484b0ab61f5e2de5820ceac2.mp3*~data=user_id=0,application_id=42~hmac=c43fcfa999449fc7291f8ebd3346f4b8b4da904ec06c62480b42d9684b591801"
My Heart Will Go On,Celine Dion,"https://cdnt-preview.dzcdn.net/api/1/1/f/b/d/0/fbd59f9121892eed1ed1671730f012bd.mp3?hdnea=exp=1751246556~acl=/api/1/1/f/b/d/0/fbd59f9121892eed1ed1671730f012bd.mp3*~data=user_id=0,application_id=42~hmac=e6656fcd9c8a6a27f9d7100db1f76a62d418dbb9cb7ba3a58aad146720403b22"
Wonderwall,Oasis,"https://cdnt-preview.dzcdn.net/api/1/1/e/9/9/0/e992ed1b27bd8da3c4f6128047285674.mp3?hdnea=exp=1751246556~acl=/api/1/1/e/9/9/0/e992ed1b27bd8da3c4f6128047285674.mp3*~data=user_id=0,application_id=42~hmac=d5345e917413d6fbab3471b830a772b694082cd4aeab5498511cb64f8c6d7b5b"
Calm Down,Rema & Selena Gomez,"https://cdnt-preview.dzcdn.net/api/1/1/3/4/9/0/34902942bf39f4d4c794af249ecf9124.mp3?hdnea=exp=1751246557~acl=/api/1/1/3/4/9/0/34902942bf39f4d4c794af249ecf9124.mp3*~data=user_id=0,application_id=42~hmac=aab79e36b4d8fec54316948107fce31969eaee148945b8100e7f156e67937edf"
Peaches,Justin Bieber,"https://cdnt-preview.dzcdn.net/api/1/1/f/3/f/0/f3fcfb36e1d7c904d8f1bab0497c4d6c.mp3?hdnea=exp=1751246558~acl=/api/1/1/f/3/f/0/f3fcfb36e1d7c904d8f1bab0497c4d6c.mp3*~data=user_id=0,application_id=42~hmac=87cbc0b12c0dd5f7ab6d3735c12e78734ae77fed695fef2143a67f998b41eae0"
Crazy in Love,Beyoncé feat. Jay-Z,"https://cdnt-preview.dzcdn.net/api/1/1/9/d/a/0/9da6dc6e093d7afe9aba7868644fda2a.mp3?hdnea=exp=1751246558~acl=/api/1/1/9/d/a/0/9da6dc6e093d7afe9aba7868644fda2a.mp3*~data=user_id=0,application_id=42~hmac=e8019dddc0ec5308a07491b119b64dfa4a533235dfcf108287d1f19c1326c96c"
Respect,Aretha Franklin,"https://cdnt-preview.dzcdn.net/api/1/1/c/3/3/0/c33e79affa5092d8e74aeed3388023bd.mp3?hdnea=exp=1751246559~acl=/api/1/1/c/3/3/0/c33e79affa5092d8e74aeed3388023bd.mp3*~data=user_id=0,application_id=42~hmac=44142e5803621aba50279ebc99ea452757346f331993149f82b9bbc6f90a241c"
Shape of You,Ed Sheeran,"https://cdnt-preview.dzcdn.net/api/1/1/f/1/b/0/f1becf66c6264a6a0306fc47d47690b0.mp3?hdnea=exp=1751246559~acl=/api/1/1/f/1/b/0/f1becf66c6264a6a0306fc47d47690b0.mp3*~data=user_id=0,application_id=42~hmac=bd80caae0440b8d3d39d7ef77ec6fff7c4773259219572a42c387ee25802cedb"
Bad Guy,Billie Eilish,"https://cdnt-preview.dzcdn.net/api/1/1/b/5/2/0/b528e07441caa4883c8d1c4b746bf47c.mp3?hdnea=exp=1751246560~acl=/api/1/1/b/5/2/0/b528e07441caa4883c8d1c4b746bf47c.mp3*~data=user_id=0,application_id=42~hmac=4be79690596dcdff78467ca262341c373ebd778202ea3b9db3b2fe24d0a76ba3"
Bohemian Rhapsody,Queen,"https://cdnt-preview.dzcdn.net/api/1/1/6/9/6/0/696939b18f53877d141e4d52fea4c8c3.mp3?hdnea=exp=1751246561~acl=/api/1/1/6/9/6/0/696939b18f53877d141e4d52fea4c8c3.mp3*~data=user_id=0,application_id=42~hmac=ae9087a3c795c5e90ddb39ee5ce508b98a9f17b61500f3c68e8d3c3162e4adeb"
About Damn Time,Lizzo,"https://cdnt-preview.dzcdn.net/api/1/1/1/b/2/0/1b242a2c3d20f6a2182bad30e6d09325.mp3?hdnea=exp=1751246561~acl=/api/1/1/1/b/2/0/1b242a2c3d20f6a2182bad30e6d09325.mp3*~data=user_id=0,application_id=42~hmac=12e8fad833b6827060ded593a1383ff082a99f1f764c202b477ea8cb4e7f4722"
Humble,Kendrick Lamar,"https://cdnt-preview.dzcdn.net/api/1/1/5/9/c/0/59c7208affd26e5d728f03dd312dc4cd.mp3?hdnea=exp=1751246562~acl=/api/1/1/5/9/c/0/59c7208affd26e5d728f03dd312dc4cd.mp3*~data=user_id=0,application_id=42~hmac=8d91fce57aac71a71e40d67138af35b795b7f833ab2dae6d339fea7259fdfeca"
I Will Always Love You,Whitney Houston,"https://cdnt-preview.dzcdn.net/api/1/1/8/9/8/0/8986cdb54dad14b36f42fbc2c966d83b.mp3?hdnea=exp=1751246562~acl=/api/1/1/8/9/8/0/8986cdb54dad14b36f42fbc2c966d83b.mp3*~data=user_id=0,application_id=42~hmac=7ed43c4a0e3f5901ab821bd4992dd69feb0570ba80acb56910317d80f25d9162"
Rock Around the Clock,Bill Haley & His Comets,"https://cdnt-preview.dzcdn.net/api/1/1/5/5/8/0/558b43acdfe067299dd80b946186ec3b.mp3?hdnea=exp=1751246563~acl=/api/1/1/5/5/8/0/558b43acdfe067299dd80b946186ec3b.mp3*~data=user_id=0,application_id=42~hmac=a32fa675b0cfe7785a98bd928197a336169df85192a1c0fdc52fac10d4ffe044"
Great Balls of Fire,Jerry Lee Lewis,"https://cdnt-preview.dzcdn.net/api/1/1/7/8/6/0/78643a7eeda88b44ff5624459556e8b1.mp3?hdnea=exp=1751246564~acl=/api/1/1/7/8/6/0/78643a7eeda88b44ff5624459556e8b1.mp3*~data=user_id=0,application_id=42~hmac=17c320732403961803bf3dd99fb0cb8d11ba0fe14ec0943928897114fbec0284"
(I Can't Get No) Satisfaction,The Rolling Stones,"https://cdnt-preview.dzcdn.net/api/1/1/5/b/0/0/5b0d89432364d33427368ef35f344eff.mp3?hdnea=exp=1751246565~acl=/api/1/1/5/b/0/0/5b0d89432364d33427368ef35f344eff.mp3*~data=user_id=0,application_id=42~hmac=2058f8480f436123b93d6727debc823dae08991b5c60e8eae3e987019e1ec049"
Anti-Hero,Taylor Swift,"https://cdnt-preview.dzcdn.net/api/1/1/4/1/1/0/4110a4ad9a0f2dfd6ff84a7bffad5a46.mp3?hdnea=exp=1751246566~acl=/api/1/1/4/1/1/0/4110a4ad9a0f2dfd6ff84a7bffad5a46.mp3*~data=user_id=0,application_id=42~hmac=0dc606ad943bc14235b8ef771d3c7d5ba5a484d7c00be25d2ad85a87adef07d3"
Bad Habits,Ed Sheeran,"https://cdnt-preview.dzcdn.net/api/1/1/c/4/f/0/c4fb67eb50a9d9765eaf70644ddcad84.mp3?hdnea=exp=1751246566~acl=/api/1/1/c/4/f/0/c4fb67eb50a9d9765eaf70644ddcad84.mp3*~data=user_id=0,application_id=42~hmac=5e783a3b8c6288d4b8b30642c1a5f9e579eb61ca5520b3172675b42de114f18e"
Somebody That I Used to Know,Gotye,"https://cdnt-preview.dzcdn.net/api/1/1/6/7/4/0/674feceb9fbf9750da387769b0fc7816.mp3?hdnea=exp=1751246567~acl=/api/1/1/6/7/4/0/674feceb9fbf9750da387769b0fc7816.mp3*~data=user_id=0,application_id=42~hmac=e4f69400c5bdbef9b89a42d79d5f724ecb9e4ec55f4f85e6ce61ae35fd60dc99"
Gold Digger,Kanye West,"https://cdnt-preview.dzcdn.net/api/1/1/5/2/5/0/525c0a401d49612f4ceb35367c52ccb3.mp3?hdnea=exp=1751246567~acl=/api/1/1/5/2/5/0/525c0a401d49612f4ceb35367c52ccb3.mp3*~data=user_id=0,application_id=42~hmac=fe818bba806a2e96066a9a01cbe19c03f24f5207c1924ad6771b7ce08ee99c77"
My Girl,The Temptations,"https://cdnt-preview.dzcdn.net/api/1/1/a/c/4/0/ac4bea218b498c59ee629d2811235271.mp3?hdnea=exp=1751246568~acl=/api/1/1/a/c/4/0/ac4bea218b498c59ee629d2811235271.mp3*~data=user_id=0,application_id=42~hmac=161bde61eab5d842830b1a0659ccb09453b6642fd13e560c7069055c2afc88ad"
Despacito,Luis Fonsi feat. Daddy Yankee,"https://cdnt-preview.dzcdn.net/api/1/1/c/6/8/0/c68396f0684b99d05f5b353fb3c4c888.mp3?hdnea=exp=1751246569~acl=/api/1/1/c/6/8/0/c68396f0684b99d05f5b353fb3c4c888.mp3*~data=user_id=0,application_id=42~hmac=572324e66e0e5ca79eeb27ee1404a45a4286158711175bf7aed2da12c76c8ca1"
Dance The Night,Dua Lipa,"https://cdnt-preview.dzcdn.net/api/1/1/f/9/0/0/f90bfaff6477359d65702605fbfe16eb.mp3?hdnea=exp=1751246569~acl=/api/1/1/f/9/0/0/f90bfaff6477359d65702605fbfe16eb.mp3*~data=user_id=0,application_id=42~hmac=ed73c4168160b69ddf330e22d5429414f2a02aa29e9cba92886e21e5b73c97c4"
